symbol,address,ens,name,votes_count,delegators_count
COMP,0x50c1a709F810053F40763FBa99F5F11b9b486289,,,99972000000000000000,1
COMP,0x76334D378bEd3c68Eb60A6256F524A4f6AA7b696,,,99577108961201055018,1
COMP,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,Polychain Capital,87595589470851062138,250
COMP,0xbEFb4feCd83185D358B891f12eda1c20FdBa9c20,,,80286699368571858233,1
COMP,0xF8210EE33B710AC8B05E3cB9Ca6Eee22851a5Ab7,,,60245417734585595966,1
COMP,0x49ccA95dD672b7f931428337b1d7437319f38515,,,52166194774727870502,1
COMP,0xaF0958fD558f3e7550de4845b1086d620187BC1d,,,48501658408390294831,1
COMP,0x9AA835Bc7b8cE13B9B0C9764A52FbF71AC62cCF1,,a16z,44845528046387838866,366
COMP,0xeEB40d10cb86f569BB978A81a4eA178a9E1dfDdf,,,43477744184186288586,1
COMP,0x7E23c6ab8E21213f4a470DF979D8E7348d30f756,wiest.eth,wiest.eth,39525669751616119708,1
COMP,0x03f061F6357195DbB545820a6cd9a2eD2B087618,,,39124672606103311833,1
COMP,0xbbD13CA6aACE2a8ECcBDe88bc7849C3c6E4e172E,,Ric Burton,38951969631841920022,5
COMP,0x2210dc066aacB03C9676C4F1b36084Af14cCd02E,bryancolligan.eth,bryancolligan,35200553999120362232,14
COMP,0x0872dfA15E300496BadBB4c04c939F5E515DeedD,,,33542592105909477781,1
COMP,0x32a59b87352e980dD6aB1bAF462696D28e63525D,0x32a.eth,0x32a.eth,33533180360370849281,1
COMP,0xA7465978149d971f0073c686Ab0672bBc0272E66,,,33329332334386130810,1
UNI,0x11dA8Ae234EDd16b135EDC47e5d9beCC8717ECdC,,,15000002250692637600296876,66
UNI,0x465f39229c30D8171C540a9411d1B6Bd894F8aA3,,,14986062248955096970090290,4
UNI,0x19D373d0F95F00d368A8d57605Af746C4Ea9B1D0,,,9295469033969200000000000,1
UNI,0x53689948444CfD03d2Ad77266b05e61B8Eed3132,,,9003825422009728457633380,24
UNI,0x030d6830dc8FF125850390dA620Fa3E12DEcD437,,,9000000000100000000000000,1
UNI,0x6d714455D4B28595d4085AA7c8E4f499492875C3,,Ian Lapham,8007117746541906912131389,9
UNI,0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,jessewldn.eth,jessewldn,8002091951365909661861479,78
UNI,0x1d8F369F05343F5A642a78BD65fF0da136016452,,,8000000905326101490800535,13
UNI,0x5F246D7D19aA612D6718D27c1dA1Ee66859586b0,,,7300000000100000000000000,1
UNI,0x88E15721936c6eBA757A27E54e7aE84b1EA34c05,,,7250000162063811489170084,9
UNI,0xcb70D1b61919daE81f5Ca620F1e5d37B2241e638,,,7000000000100000000000000,5
UNI,0x4421aec43B6157B210868bc687190a874150448D,,,5311814286200000000000000,2
UNI,0x42f9134E9d3Bf7eEE1f8A5Ac2a4328B059E7468c,kain.eth,Kain | Synthetix,5000000000100000000000000,1
UNI,0x2193c9a83D90fAb555A5D450aD6c2fEBa6924967,,,4999999900100000000000000,7
UNI,0xCFaaE1aE2C0AE4D498061aA798186ecB815Fc609,,,3999999910200000000000000,2
UNI,0x2fD0eB27494d7A336574919fc670c05ADbf65c80,,,3100000000100000000000000,1
UNI,0xaEbb1719d3a7d631702347Bc90c03511Fa0DdEbD,,,2900000050040000000000000,1
UNI,0xA7F63376169ccC087EB1160E62ceCcB146C1d555,bor4.eth,Boris Stanic (The Stable),2891294849453000000000000,5
UNI,0x069E40A2c06DA4925E3dc889032D10bDf88439F6,,,2749999900100000000000000,1
UNI,0x9c980d9E5C46eAf6C1E7dDd2dCD30C1FcD9875d7,,,2646496000121929820000000,1
UNI,0x7fd805E2852113E8167c701b43EAd86364e800b9,,,2531498000100000000000000,1
UNI,0xECC2a9240268BC7a26386ecB49E1Befca2706AC9,stablelab.eth,Anode,2504604473190854425812145,38
UNI,0x3FB19771947072629C8EEE7995a2eF23B72d4C8A,pgov.eth,PGov,2502451398236862308283105,41
