token,chain,address,balance,share,post_exclusion_rank,tier1_label,tier2_label,tier3_label,final_classification,classification_source,confidence,vesting_status,notes
CRV,ethereum,0x77fb357f55bef5a70d30663955f8c9f35794df0e,23501003.81233772,0.0111118720093084,8,,,,,,,,
CRV,ethereum,0x8fa129f87b8a11ee1ca35abd46674f8b66984d4a,21297103.891359743,0.0100698121024726,9,,,,,,,,
CRV,ethereum,0x5dc61282cdcf58a27f7a5c9612aea3d2330964be,20864162.2635,0.0098651062952358,10,,,,,,,,
DIMO,polygon,0x00235af3dda000ba0e0ec440793b414d976a9e62,38786976.247949,0.0665519294894555,1,,SafeProxy,,insider,tier2_blockscout,high,,impl: Safe
DIMO,polygon,0xccfa7c808f5b77822e4935a7230f46681c99f4bc,14026591.556739926,0.0240672726405402,2,,,,,,,,Polygon Blockscout 500 error
DIMO,polygon,0x354698f0e93c6830196e81250074733d8a792ff2,13117998.28772648,0.0225082793643584,3,,,,,,,,Polygon Blockscout 500 error
DIMO,polygon,0x3ace81a93ff91f7ce42da8d1c18d2de6b470070c,9237143.91850662,0.0158493858046207,4,,,,,,,,Polygon Blockscout 500 error
DIMO,polygon,0x62b98e019e0d3e4a1ad8c786202e09017bd995e1,9175132.483417116,0.0157429846087854,5,,GnosisSafeL2 proxy,,insider,tier2_blockscout,medium,,impl: GnosisSafeL2 multisig
DIMO,polygon,0x0daf060795df02c59fb15f20b41e1bf24d6b31d8,8602602.56369247,0.01476061953334,6,,,,,,,,Polygon Blockscout 500 error
DIMO,polygon,0x7b3d491d7ad5d14166369b8fe53c51cb16d0a296,8595911.20879617,0.0147491382934413,7,,,,,,,,Polygon Blockscout 500 error
DIMO,polygon,0xc20d25fb4cafd5b7d3cd99ec4df6349f6aa61b58,8000281.49948183,0.0137271378631239,8,,,,,,,,"EOA, no Blockscout labels"
DIMO,polygon,0xced3c922200559128930180d3f0bffd4d9f4f123,7975918.450382233,0.0136853349673411,9,,,,,,,,Polygon Blockscout 500 error
DIMO,polygon,0x597a1df671a3b32801e7687ef469541a91562ca4,7691078.44997552,0.0131965974204475,10,,,,,,,,"EOA, no Blockscout labels"
DRIFT,solana,9wiiyvy8zzbzmjwxevi5chzks2vszw7fvjjjrixvila6,268724873.000009,0.2700786807169945,1,,,,,,,,
DRIFT,solana,fh9ilv5z8euedmnw6czupkpdhwjcshqj5n4w23njnsuo,140182536.190718,0.1408887611008385,2,,,,,,,,
DRIFT,solana,gu6nuuglpora979utwwvcykhimrngfzkapwqcrbfaijq,54632891.73,0.0549081265067424,3,,,,,,,,
DRIFT,solana,7lcwgh3tta7v9jvpou3zhhrucgd2xncdawqsjbpdzfq6,39846001.0,0.0400467409726068,4,,,,,,,,
DRIFT,solana,eppctwzpp7le61xkpbb9ixfxmfd8ffaxewe7dtk6dg1m,26565533.413104,0.0266993677833243,5,,,,,,,,
DRIFT,solana,demtrm4sqblxmywg9xst9tmyrmxfwnh6ccfiu4xb47kr,22257547.9,0.0223696790911763,6,,,,,,,,
DRIFT,solana,jcncmfxo5m5qwupg2utu1u6ywp3mbygxqbsbexxjfrw,19353121.160888,0.0194506201548697,7,,,,,,,,
DRIFT,solana,3vykr2swa8pmdbkwhwtrwznesqsajhryddenyy8rb2mk,15000000.0,0.0150755684262795,8,,,,,,,,
DRIFT,solana,hpjku5hur1diprb6uihqxtr5hkrajxfeetgjkvyemour,14417083.149955,0.0144897149023005,9,,,,,,,,
DRIFT,solana,jcncmfxo5m5qwupg2utu1u6ywp3mbygxqbsbexxjfrw,12705132.775954,0.0127691399019241,10,,,,,,,,
ENS,ethereum,0x245445940b317e509002eb682e03f4429184059d,12438699.26891651,0.1329056616534678,1,,,,,,,,
ENS,ethereum,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,9701035.59664602,0.1036541302930295,2,,TimelockController,,contract,tier2_blockscout,high,,ENS: wallet.ensdao.eth
ENS,ethereum,0x690f0581ececcf8389c223170778cd9d029606f2,4859346.462859098,0.051921398121074,3,,GnosisSafeProxy,,insider,tier2_blockscout,high,,ENS: coldwallet.ens.eth
ENS,ethereum,0x2cd5bb500066b913d320fc9ac52a72422915c422,3289837.747886149,0.0351514296762517,4,,,,,,,,
ENS,ethereum,0x498697892fd0e5e3a16bd40d7bf2644f33cbbbd4,2370079.2516858075,0.0253239462026077,5,,,,,,,,
ENS,ethereum,0xa0b49ee43b256ee817d0e466fb88a3a25bf76277,739784.2000000001,0.0079044847420244,6,,,,,,,,
