owner,balance
75swTMMhfxwe8LfhpQBiwf39ECy9cyiV5w1Qs1BFy4P5,141855002313998.0
9E4fv9BsJ2BwkNBXDeUgpJYtrYPheMQWYFcxGYxDFshX,141129259865333.0
EFMsD4nSTHQunSd7JZWEm9ZbxDHcpdZ4WFXU787Nep74,139658472545906.0
Cw32Ny2xcYdpfJmvFd7h2pRhcbcjoJFq8KrrA8YLwZeh,137657000000000.0
8jKK3poedvbmQhDDX9zxSSGsEvKyWBEhbDoti4kppR9y,135228742000000.0
9obNtb5GyUegcs3a1CbBkLuc5hEWynWfJC6gjz5uWQkE,135197918162429.0
6Q6Y3WXCV5wfpowjJ3zV6RA49ZYc7txEwWdTAews9iq4,134500000000000.0
4JAsT9JHefbfdPrfB2k9yPssThb47Ze1yNdC9LVEZthy,134227949808999.0
A4JVCGGwyacHaBnzL5DbBmWkseMhbcrbceVyxTxF6Bqr,133787272885565.0
8S3BjPnAygsmbGnxpLUNympLoeEnRJhyqHkpuxY6aMdC,131754610821307.0
FLbGvea7pk7NuJYevvKqi4FQVD22xPQAVqb7z881kbyR,131387737113537.0
DPqsobysNf5iA9w7zrQM8HLzCKZEDMkZsWbiidsAt1xo,129651085357370.0
9Ge8ryMtp4uMPoMaSLUEeoaTvJbpGtDheAuGRdQybZAq,126464347352991.0
8v2mTnCfR1fzwJEY5DjXMGFu4LUs34sgyY17Zs4Z7kHy,125804602414251.0
7iBFUna6yLia5EtnR2VapvnSEPBApYh1SxRfbAvN5LpH,121000000000000.0
4UP7t9p3HEd9gfF9gFKkGa1ZvLXFS2naHgnxB4fwpLfS,115480565835756.0
CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,115011068000000.0
4XUE9iX1fAXaLQLnBmDnv1ytuLw37Dtvg1NtLqN6z68h,114098719820247.0
4DppPW6VkMqkTxhbXEzQLjzDUMPXFWKc4d8RdAkpcta1,113175515196079.0
B9hkoG8rjSsJ3FcjYMu2NDschscJvVSfjWZKrZYj22iv,112999000000000.0
K1EmQH2KhE7k8TYcvb7kpnStecfVXRy1HWKLPeJ8tjF,108892778734400.0
G1TaBs77E7RxsWrNNmBbwoufVVea4Qgpvg4xPKFFmAgu,108343000000000.0
