owner,balance
5BHrYzyRY4hyBNrrycbt4Fey7952CHD7KXABH1iR2J7i,5316288539999.0
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,4740915221573.0
22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa,4590015223870.0
FkaLnX17cXZGyeu3kZGdHCNdFMJJzBrPPYVvd18B3MZp,4428863907098.0
HEMzncDhvRwjernmosXq6mSyngUFm3JPRLRohu5w1e88,4383812051164.0
4vscYwjrwhRTJnFqJgqZRQguz6wA4mhBcc4DeoLamA4n,4382984000000.0
51JrCR3Giu2VLAA8rcNHqqoPiEwPLyAMgufjZAxtm5N7,4325918727075.0
7Vhqf6tCmVfPw5U8DC7zBSuLueza6cdVkHw2wMwF4cCB,4302925000000.0
GyFJWVwBpw35uSkBSatb4R1DU3CzjzEtW1t8sKBZ71pj,3853927930001.0
3HSH8gVSMJoVQzon5UFN8A1GC7noaNjszDmXnQW1W9HE,3761755583729.0
CyAH9f9awBcfuZqHzwwEs4uJBLEG33S743jxnQX1KcZ6,3625780016366.0
5bG9groPxV4djMKBv97hBjvxGL3wWhH2QCiFSZ1PsNnK,3585771000000.0
E7KQzFUBGFckCQz5NTQTv9wbMsznxrdVK4wWuuKtALwH,3578001850204.0
ARC7JoWAZBXKhC4aA5EbMMMfkhDpNvrFfBzkdJZ4pGbj,3358942169352.0
83227G3hrGACkpQinBN3j7VYTexHUron4QAMGXchZm9x,3331352903296.0
FdBCf5D2pLkmVi2nBfpSxcFzg4utmM5MqcwVh6JwcAAy,3170464721926.0
2mbYcMqbfD3YqaNcGKhvEX2igLjSBgb5Ue4Wpq7wNdWx,3168034679152.0
E8Q78o9wEcA2iz3pedKFnU5q7QQ5bRsTcJ8mJX5dohqK,3133322235528.0
6j36KLQTuvbngcyvpFWX6LmsDCAKrWiqN43iaGzpq6YW,3118211794021.0
6KPviQFWpBqfqsoTgfxQaMBsJWQhuuKNAzp4fKP2L8Wy,2978037880845.0
DMe3ddj7awSR3LFC64rjmCPexsrSv33QAxFoJux4vGH3,2961464564213.0
HFG8ZUSgxwA36upiHyyNkywK2uprDQV5XsJchwutJint,2935075422744.0
4xPn9th3A9FnMaKWL23Pe624fpaA3MPqdcxGutwRqvwX,2868616000000.0
7QzQ4uZVrsUVx751gDbbb7Gt8GZBRWJSs5i2EhS1rdSB,2868616000000.0
