owner,balance
AGiAVqZiQrz32m1zKC5T4UfQKcDoGNG34sqSHSVNgwtv,710774514230000.0
7obxFAtRCwAou8RN77812HcXTUbfT9UC8YwfjLwC7X86,708509000248414.0
Hu26VoKAT6MPDL21nJRP3YDJ1VRUnpXoVEv41fFJ5niX,698170001000000.0
2uPsqT8KsALmpfkQVtwq5hSxXkG9McVcFTN1yJtHXbZ7,689261773767887.0
F49oDs7eoGTkoajCXTXmZS7JAQQcTaZ2VSciLiGM76J1,650424000000000.0
BDcPjFZ1AueaBFRHXEPwUDLowYbo1dFm3x1FtEvmBBXi,640447155281000.0
GP8EZWZoqtDW28tgsK5ymotZCyS83LzX7RNH7HczAhiM,638630021921002.0
GohR5DusAUjWnFwsfEQeMpDZyyhbCXL23sYqC1REbhbN,638378176393799.0
AQoSudSygoo2t6iu6A4csUn19d2G3k6dtuQ5Gwq1S2Yh,593514483300000.0
Am8MAEorCMAKxphqjAz3Ff59NEwPm4W2eS3DQLi2B4hg,590452442271033.0
3B7XAQrLoEMDEGvX8569F9GRb9PcXXocJmj5wvhhei9z,588435836678920.0
GBrURzmtWujJRTA3Bkvo7ZgWuZYLMMwPCwre7BejJXnK,583799127881500.0
J53fXmbmtjLjp5qLxbSyigR1mTydJkLsMfBrpKoEcTLX,566404419966041.0
2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,556752345138496.0
8NQduutArgUquiL8MbqeGnsMWfu55S9NEP6Q4NFxjbTQ,505153231052754.0
45jYWZNVM5nv8fmcD5r1uzoaaqSVoHsHUXSCK8ZZoU2F,500000001847648.0
6zp2Ks9iLQVq8eVk5ArdcSuhvaxWzC6VzLt4dWze6Jko,489142000000000.0
4sPqczzuf6BeR6upk5H9QyZjzW4CShHhfTNKGH1qpPLS,474496963178471.0
BRUKFV3AWCfQp8dMHbjRGciF2zCEtz2HfnXcRaveRATB,474198281281334.0
ByiAbN9MJhfQKGK5WJrfgko6XS88qqERQVRLWZTsvyTf,464167390903582.0
8TWNcXvh9BXKdgNdRKGAfKzGUYsoVDMKUuAdbMYxCJEA,460023662413741.0
4SVvLZaXgLtRfUoWdfSJQyvvWgZnJTsstTpqYoaYTWUq,452666827671377.0
CEnLKCR7g9fxdsKxutNt221gPGY9qtoUFTDm3uqPx9e8,452054000000000.0
7jzQekjqQT2ZYe7TAidjCzD1AJjJMneHKy1mVf1hChh7,438504923241249.0
6BhBoBB47wSGjK5uzcGWNcTf2oNRPQNuv6GVdkNyj9PB,403747990000000.0
EQbLcwc32seHXCvifJwkgjbxUH1aDPTZzyds2rvM6hd2,400000000000000.0
HJBSuuuqJiygKmNnLSUjAhTWiQFcnBsaKHNgywBwUQT7,399897020000000.0
8BVV1zhi5scEa4TkBQUarJvdmgtVikbKXrgt8RpPosqS,399472232848116.0
22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa,397698419599756.0
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,394249300397434.0
H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,392498802106506.0
