rank,effective_voter,is_delegate,display,pooled_conviction_weighted_dot,self_attributed_pooled_dot,in_top100
205,12pXignPnq8sZvPtEsC3RdhDLAscqzFQz97pX2tpiNp3xLqo,0,🍀 Lucky Friday - OpenGov 🍀,4.400000,4.400000,0
206,12BxGcQicXsqkDjrG3a7jniEnUkcxh1cFpKX7ksK5pTzY3HU,0,,4.000000,8.000000,0
207,15Zypa3TrzHyynXfBuhyjp6i2oPPZMpj1gmbgfQecU7mHGFc,0,doeob,3.800000,3.800000,0
208,12WeZq81C14ziQuE85MpLreJg4ddmiVMLUGYGL8LyzHXJD2c,0,,3.500000,3.500000,0
209,15FetbcSf55WhDyaj8uvo7oWjSxFDaSZMHsCTe8Usddq9AjG,0,General-Beck,3.000000,3.000000,0
210,13pfDDvgcFVHpQPgc8xeyG6EVPR7Kj7rufZqqa7DDYk4S2m6,0,,2.400000,2.400000,0
211,1nWZt3atgj2p9pPS2SR7m2yp1DFEciapnvaVDJj9VPrGHR7,0,,2.100000,2.100000,0
212,14ae6sADN4DNDpcMHvsidNraFrX9uEGh1vD2JHnXUxv99ZwR,0,,2.000000,2.000000,0
213,14JdkNN9Ut3KiGDXSRaG85pKZFUSHGKcLuepgNbdN7prvXZW,0,,2.000000,2.000000,0
214,1WuoZedRTvFpW7XGXgUNhHkseFLoCdcLU7XVwRf1qK4D8j3,0,,2.000000,2.000000,0
215,12ifC76pzWAwsbqxjrgaN6LJemt5ZrA1xnd5Qzbu4EwRTosF,0,,1.500000,1.500000,0
216,143faiSeYd3agjdp5PBbg4iuFioeRJyC12ZuGsXJRGetaBNU,0,Emil Kietzman,1.300000,1.300000,0
217,1nLCtMuyBp7cQTbGyaSyDavNhFzDdK82P5YDCMia2ngo1FM,0,,1.200000,1.200000,0
218,1NmKZGVSaNDbAKRMafcKzXggbmysnj8TxpBkeTCbccg4C8A,0,,1.122000,0.122000,0
219,14dHNmNZY7epzEKWvmryYCahwVhBAGcXimg2U3f6EgJWJLX3,0,zv0xq1,1.000000,1.000000,0
220,15VPagCVayS6XvT5RogPYop3BJTJzwqR2mCGR1kVn3w58ygg,0,Alejandro_R0GUE,1.000000,1.000000,0
221,14wksPBrJniZnNaBpZyrYQFFnA6cbHvAjR2RQQkgz28a3kmu,0,Nico,1.000000,1.000000,0
222,1botjHfUGfipMMF4iz2qvuMkRLJGE1zccirTsySR9eZPCkh,0,,1.000000,1.000000,0
223,15AX5Mcq8Dzays358VobG42QT9KsWJQexNoeVruYUgtt5PcW,0,,1.000000,1.000000,0
224,16XfGKJjas4ZutxPxcu5bEff64g2FEHAuUK4icN4XsPqHyWk,0,,0.410000,0.410000,0
225,14wsDzaCkocAHMDVQY6Jhgm21gxrk5zkv7Sqbs3oU7qiyen2,0,,0.300000,0.300000,0
226,152hoH49T28rvVSktMoBg1Kzv5caX1CvKmPAGCi23JifnPTB,0,,0.200000,0.200000,0
227,129MhGbzExufWTDAAvfERApUBZbYhWPKG9vY6s4kyWkGxuHj,0,,0.200000,0.200000,0
228,12vEdj4pB94Ns6qbAEoPXV6Kssusr1zynjotiRyQbJo8iwLt,0,,0.200000,0.200000,0
229,12pCUGSwoW4Xek48TLUHCFhrvAdjmciMMLJoRJD8HWP5saXH,0,Nasihudeen,0.200000,0.200000,0
230,16JGH5i7rNfAttzeXVwrqFnhbo9XasXe6BQiT9hq9qUtPSXH,0,barfinder,0.200000,0.200000,0
231,1Tu7BozGAjvqEeTUyFGuz57WN3YeFLmu8z8WR7YDmSY3iBs,0,,0.140000,0.140000,0
232,15YHUSmju7n8oR5X1dXKCKQrZTBeF8jRnHd7dxNuDVnu6ujc,0,,0.100000,0.100000,0
233,16FrW117udSvnW5oUUr5iKHVMdZx8M8JBz4C6Dq4MaA7CCQw,0,,0.100000,0.100000,0
234,1yDPekqgk42Nhorzk4YuRNeHjGFyJ7h61QnYAMsHurAL2fa,0,,0.100000,0.100000,0
235,14oc5uPbtVus9jWuZMc63wzRKQjGwQypwoTh3oA1dUcMCDpX,0,,0.090000,0.090000,0
236,14idbWYbdFo21kC611j4iRYggiDMvTngbuBnsorstyMvTsTF,0,,0.070000,0.070000,0
237,12dR7fA78i3yBMYdPWCCrnB3XnWZmpGrWuCp4bK1zRBrNEGc,0,,0.050000,0.050000,0
238,13TE2uUxsUtpYiksn9XmZNWPmFPigst6Bs455kb4PkYSbST1,0,,0.004000,0.004000,0
239,1BzDB5n2rfSJwvuCW9deKY9XnUyys8Gy44SoX8tRNDCFBhx,0,,0.003000,0.003000,0
