rank,voter,voting_power_max_vefxs,voting_power_sum_vefxs,proposals_voted,in_top_n_sample
151,0xc3d6f21c79C2567A1858d8b93a4EDBD9dB399d9d,2.5068493150,5.0136986301,2,0
152,0x6E6cEa0E277D9CfCef9094c5C8713bb52eD600E0,1.9693813529,1.9693813529,1,0
153,0xFA0e543469b5F9A45F3fDbA1BC163c878253446C,1.7909759741,3.5819519481,2,0
154,0xEE459c9E50f5e2cB58D4D76f0B68f75C66A86650,0.8626421038,0.8626421038,1,0
155,0xDFeeAcB43f4bdF4F952EE0E47c99353dD2eDa192,0.7433121636,1.4866243271,2,0
156,0x3D949494687E073ba944C6E6482e0dd2683EF3cf,0.7428325315,0.7428325315,1,0
157,0xDE2e4Fbb91763b16cC59c3A34d6AAAa521c61c0B,0.4247408638,2.8436065815,7,0
158,0x288A4e70Eba5d4f92e28F8CCc561E9fC947304A1,0.3916596236,9.7453422230,33,0
159,0xC85032a2e77bE215A095Fc8b77C0E3e16Bb69BF9,0.3754949557,2.1071139345,7,0
160,0x66D898e5f80E069B079C710d646BDF05a751f370,0.3590889679,1.4363558717,4,0
161,0xdc4C44943bFBC9f87D0f1FE11d69a4b814D3608c,0.2596731978,0.2596731978,1,0
162,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0.2102061237,0.2102061237,1,0
163,0xb3De3b6Ac5F8e7b41B834C1509fdd0E56887C9B0,0.1567563293,1.8810759521,12,0
164,0x773a26a19296B49ce51e1bc25e80133F74C2cC8F,0.1375885149,0.1375885149,1,0
165,0xef68A8F68f387377c71F6A86b7e7f98B8413471d,0.1214295940,1.8045723045,17,0
166,0x20aF7316E7bAa5e8fb42fc2f52641A5236c27515,0.1144181338,0.4576725352,4,0
167,0x4770F67Db9D09Ca7347C1fCcBf3795A464065eCB,0.1027156748,0.2054313496,2,0
168,0x6C517e43617ef1c0994Ac526A2ed2393e67e52aE,0.1000000000,0.1000000000,1,0
169,0x21093947278aEC469f300A7e4515999316885783,0.0268493150,0.0268493150,1,0
170,0x14AB9F431B7D25FcAd366EC9511DcE38E229745C,0.0211007873,0.0844031493,4,0
171,0x0872b7209cAd52fa95af35F4BAF5653933105aB5,0.0159550764,0.0159550764,1,0
172,0xC51feFB9eF83f2D300448b22Db6fac032F96DF3F,0.0100692794,0.0100692794,1,0
173,0x4D4AC65513fEe380c596ac9EdfaC588782831bdf,0.0089421404,0.0894214044,10,0
174,0x41ec28eceb137789032B2B505A57c1dA829934CD,0.0018574959,0.0018574959,1,0
175,0xC398220de66c6d664b91148668fA754f8597cdaC,0.0012986416,0.0025972833,2,0
176,0x1543c3446f436576417490a647987199685e0b8d,0.0000447118,0.0000447118,1,0
177,0x6805b97d7aB9D149224D8530F3F3DbA416362266,0.0000313622,0.0000313622,1,0
