rank,voter,voting_power,dominance_full_pool,in_top_n
112,0x5d47e5D242a8F66a6286b0a2353868875F5d6068,132.3566724673,0.0000372300,0
113,0x450BC6199a9563924EF027620b9b3d731c80Fe47,124.6681799809,0.0000350673,0
114,0x50ED348f85De0772a61fF63Bbe33dF8dB30DE1B2,112.5020377451,0.0000316452,0
115,0xC8CB74385167F04141c8Cf49899e16502267C03d,109.6392868490,0.0000308399,0
116,0x0B3AF21d0E613A71Ffc5Ac4A3647f054CBfB3DB9,108.8588048755,0.0000306204,0
117,0x42FC62b9e79209b74Ef9eE746498242A572e174d,105.6428560071,0.0000297158,0
118,0x66A5B7401ae8a8db6B15Ab0b5442F283BdaA8cC2,105.1690923402,0.0000295825,0
119,0x371B75388b95073E903648ABbB205df1295f5Ee3,103.6014717991,0.0000291416,0
120,0x54Fb996A8A5Ca66550fD61D3944d3c170e6Ee98f,101.1284274364,0.0000284460,0
121,0xE4f8288e2e7EAee5AC51dc8A8270715156544246,100.3433521979,0.0000282251,0
122,0x4F034f0204bB0108FDa40B852483C3b3e7A11674,98.0000000000,0.0000275660,0
123,0x564C61d18D626D8f0eEe42B24aF07BE734be2DA6,94.6265733980,0.0000266171,0
124,0x026dc72f815A4bfe617E672F224411621d86A22e,93.9634236934,0.0000264305,0
125,0x62A6c60de7ecec9FD12CBd01A51A61530a41de91,92.7908560336,0.0000261007,0
126,0x2f600f4362A76243e4C5f9964293632C71ef2E27,90.5700000000,0.0000254760,0
127,0x00B1132aaD75fB5C2CB4d6A06799e92ECB6e20bc,85.9251646464,0.0000241695,0
128,0x215E52076e5EE8A264844caB07873E8b51Ee8664,85.6200636595,0.0000240837,0
129,0x48e5744fD1E9F18D640Ad39E43C3c3687fFC9eAa,83.7500000000,0.0000235577,0
130,0xC40B42e0B02191B4cA09d6eD846abE578159Fe5f,80.0000000000,0.0000225028,0
131,0xB70D29deCca758BB72Cd2967a989782F3acAd3e6,78.5051320830,0.0000220823,0
132,0x905f8d96f7cA89Cd63DA93b3526Bc1DF1b2b753B,78.5036043395,0.0000220819,0
133,0x09DA2d53C9d7e569e428b7F4A5c82C7CD855a7D4,78.3159961038,0.0000220291,0
134,0x5E0936B2d7F151D02813aace33E545B970d9c634,72.1648100570,0.0000202989,0
135,0x18ce5dc03a2Bd7275fF5b69F76b76267Ba7da9F4,68.7500000000,0.0000193384,0
136,0x8Fe6FDB69B7F3f00B82948C6c252ca772baA2E82,66.2012870262,0.0000186215,0
137,0x4c57Ec15F38F6F09B26824b96259101bDa220DF5,63.9706193761,0.0000179940,0
138,0xEB757f5785452068A3b2Bb462Fd89a41a8F410b3,60.2468090866,0.0000169465,0
139,0x371763bB15Cc367DcabA53be16a8A1fd1037D99C,58.5954384148,0.0000164820,0
140,0x2BE21Ec97C340301E903F65F66901a23C48f4873,55.8291202856,0.0000157039,0
141,0x1e39cC29009ED4760c186d8771295c1E224882d4,55.3434994404,0.0000155673,0
142,0x979139e0AE28049EBB83c4171aD90689dA5358B5,54.4061096974,0.0000153036,0
143,0xD5d74BffEC4b1C945094383844Aea8Bd93073c4D,54.0618508296,0.0000152068,0
144,0xe14950bFBCFD5b209cAd4138CB5E21B8d35632c4,52.0000000000,0.0000146268,0
145,0xe1e0D8b3fd45f565f6F8002443c9187FcCB0053d,49.7028713122,0.0000139807,0
146,0xF44217A8b6b3f258BFFEaD635c226528aa516aea,49.1999249937,0.0000138392,0
147,0x51a765F879d6DdE820382f851957A1aB3A17eBBd,48.1011972079,0.0000135302,0
148,0xF23fd62E9566262a009851D0C0E70B3280e2EAd7,46.5916516420,0.0000131056,0
149,0xC258D51D09bBfB9d99365E95D16D197a78469128,46.4801620966,0.0000130742,0
150,0xaCFEb570426e260Eb930971FE528c8014f1002a0,44.4186125732,0.0000124943,0
151,0x6629DB6b40057e29d0593D895A350df94DC1e99A,44.2265370073,0.0000124403,0
152,0x0Eb4d9dc612f691797883414a43CC4D7b5b372B7,39.6741900254,0.0000111598,0
153,0xCED608Aa29bB92185D9b6340Adcbfa263DAe075b,38.2886216328,0.0000107700,0
154,0x4ea4d86C2dCAdB881bcCAad5d28a14B80d6Aa1eF,37.1419995323,0.0000104475,0
155,0x91628ddc3A6ff9B48A2f34fC315D243eB07a9501,36.5368308258,0.0000102773,0
156,0x4168801f890DB8b663c20Bd3DF59C14Dc97772a9,35.4863131071,0.0000099818,0
157,0x4f95eE7823b66cf2216dc8dF6d90f0964Af1029b,33.4115643658,0.0000093982,0
158,0xe6b5A31d8bb53D2C769864aC137fe25F4989f1fd,32.6858362919,0.0000091940,0
159,0x30D41a62B6e36E72B4FED35236c3168F4369b2f5,31.3061322205,0.0000088060,0
160,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,31.0261980880,0.0000087272,0
161,0x034e1f7A66b582B68E511B325ED0cCB71bb4bc12,30.7628738156,0.0000086531,0
162,0x9c92A8f8439A61469D71c8FEfa609A3Bc7Fc7f98,28.0143001817,0.0000078800,0
163,0x9B1856d9e00dd107256Ad5D7574E7be7514a602D,28.0000000000,0.0000078760,0
164,0x4Edb105bafFa8Af11D3e96C105005e7206d8DDfa,27.1695382563,0.0000076424,0
165,0xb72dfF3865C3B73b60e33b1027ee359aADfb8311,26.8800000000,0.0000075610,0
166,0x168F87fBfe36B84E44B9d06278B2aA1CC73d7400,24.8296118772,0.0000069842,0
167,0xB1F8ccB085047509BE3Cc07802DFf15d56414250,24.6351886107,0.0000069295,0
168,0x7c83E7066F6fa9f83827ED09346889A8180BaBb3,23.8215454747,0.0000067007,0
169,0x121ac669E4c99ef4673B22D57431B3A521292f2c,23.7908253143,0.0000066920,0
170,0xA1771Ce265f7d7b3Df2eb536769C27b581696dB9,23.6252070699,0.0000066454,0
171,0x6Fe01792c2D8963c91416702B9899498Bd14E948,23.5840858636,0.0000066339,0
172,0x6058bF8e3760964b839763580b40315e34696DF0,22.3466137221,0.0000062858,0
173,0xd27d90b337717Fd91C4D409F712B890D4eE2FdD6,20.7105539572,0.0000058256,0
174,0x8Db060f048DCDb83F3a81fB269cfde5F30349ED4,20.4239024135,0.0000057449,0
175,0x625021be5903cDE8a394E02eA8D597D5054c02Fc,18.8953123392,0.0000053150,0
176,0xD74A224473d0615993269946a05D9646A8D9c0e9,18.8000000000,0.0000052882,0
177,0xd2E1180Ede022D00fCbe04B989159b284D986661,17.5111800707,0.0000049256,0
178,0x274829C52bba894d62A4931b46B76cFE0606Ac26,17.3307347562,0.0000048749,0
179,0x3D51c4CCF0BC46a9C10f320A290560c4f8AB76fa,17.3105237077,0.0000048692,0
180,0xab814f6a8DAff51C7ADae3BAe52082fb37960413,16.4015864426,0.0000046135,0
181,0x44FdC6E37d0D5a6f58b09E411465A8e903695670,16.3683116949,0.0000046042,0
182,0x413A9c69dF59288ef9A7Ebe78a2033DD2F3E1af3,16.0755140000,0.0000045218,0
183,0x9d54050cDBa29CE15A499391dcd762034C4a7B03,15.8308804912,0.0000044530,0
184,0x2d04E113E6C0FC3580d7fBA6f4Be7FCE597F0a9B,15.5555448169,0.0000043755,0
185,0xfe12948B55F1Da3c427a962cD260b3608211679E,14.8943021158,0.0000041896,0
186,0x2856cf9905D923469bB749e9787Fc953B0a321e8,14.8039908923,0.0000041641,0
187,0xCe82fc16D33dA963A790729224aDA78ab0bd1299,14.3809085939,0.0000040451,0
188,0x2cdC67577d0D85cC9F1D74e66aa895d562F66C16,12.5801037302,0.0000035386,0
189,0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,12.2491060202,0.0000034455,0
190,0x719F71498a1128765Bc941BA56EA3A798b9928D1,11.4307234339,0.0000032153,0
191,0x133763da5B6a4A27A7CaDaDC17C86923b723A525,11.3532845957,0.0000031935,0
192,0x604f021b23D19856C1f36f1CB64E6C88D54f9b37,11.1526624492,0.0000031371,0
