coingecko_id,protocol,date,price_usd,market_cap_usd,volume_usd
bonk,Bonk,2024-03-10,3.414655165327406e-05,2245192184.2712426,489306411.7597407
bonk,Bonk,2024-03-11,3.09261797384898e-05,2025499947.843826,331893695.42555064
bonk,Bonk,2024-03-12,3.110673365181947e-05,2033766687.34249,352977925.44787097
bonk,Bonk,2024-03-13,2.88048045995703e-05,1891256194.50404,301838098.7893959
bonk,Bonk,2024-03-14,3.199857752867062e-05,2094767648.3813977,502784950.5854016
bonk,Bonk,2024-03-15,3.426804425566537e-05,2252770064.413073,908223313.8698788
bonk,Bonk,2024-03-16,2.968403139384371e-05,1951004125.5260615,586235706.4924339
bonk,Bonk,2024-03-17,2.5061817881261014e-05,1635621932.1451557,354771733.4878523
bonk,Bonk,2024-03-18,2.81509797041053e-05,1844573640.932103,346736328.85360456
bonk,Bonk,2024-03-19,2.3593539761292658e-05,1550163591.9732516,271737004.9296309
bonk,Bonk,2024-03-20,2.170369102555944e-05,1432745759.5301976,325827342.7290966
bonk,Bonk,2024-03-21,2.4568054092369773e-05,1608185291.007212,286022608.97264856
bonk,Bonk,2024-03-22,2.2831197744701316e-05,1498962448.580929,172088899.97198457
bonk,Bonk,2024-03-23,2.1639922021220645e-05,1421120776.7764015,147522626.9200411
bonk,Bonk,2024-03-24,2.215785336139854e-05,1461178992.441877,123743840.5665517
bonk,Bonk,2024-03-25,2.409225669740884e-05,1582693561.8735914,123549261.726134
bonk,Bonk,2024-03-26,2.5226279625751223e-05,1658568666.7213452,198674097.51660758
bonk,Bonk,2024-03-27,2.698498243664306e-05,1773142847.83764,263128450.4645945
bonk,Bonk,2024-03-28,2.592359281296499e-05,1700481996.7376077,173380727.84862843
bonk,Bonk,2024-03-29,2.8282686842110813e-05,1862523088.604329,319895482.74903405
bonk,Bonk,2024-03-30,2.6414647754619574e-05,1739193877.057011,182999311.00412184
bonk,Bonk,2024-03-31,2.7033136840661785e-05,1779660544.3997684,227142161.9122529
bonk,Bonk,2024-04-01,2.8010865404449746e-05,1850264510.3483858,137012756.95699015
bonk,Bonk,2024-04-02,2.5876910230591005e-05,1711424413.1576655,162526914.93699828
bonk,Bonk,2024-04-03,2.26880612950566e-05,1499895231.1733243,151446076.33163324
bonk,Bonk,2024-04-04,2.2484637656440918e-05,1486129049.6936598,121737352.36339
bonk,Bonk,2024-04-05,2.3102775252387358e-05,1523579547.7876334,399414404.096451
bonk,Bonk,2024-04-06,2.188748648521641e-05,1444595186.3092265,107942115.75206462
bonk,Bonk,2024-04-07,2.2748330897947148e-05,1504419098.0564518,76641968.3694304
bonk,Bonk,2024-04-08,2.3558436937881927e-05,1557650560.5278263,90524736.42794493
bonk,Bonk,2024-04-09,2.4412576775095918e-05,1613130536.7005079,113637571.68577605
bonk,Bonk,2024-04-10,2.2292217709014607e-05,1469060925.8951051,98598026.69825819
bonk,Bonk,2024-04-11,2.2649185351558117e-05,1491244057.4337237,103169061.78782082
bonk,Bonk,2024-04-12,2.1734762685661973e-05,1435121318.618666,79083639.49307458
bonk,Bonk,2024-04-13,1.737638217114842e-05,1151092667.547116,177262381.52958828
bonk,Bonk,2024-04-14,1.5529014559017213e-05,1033709037.2696781,209283266.0714824
bonk,Bonk,2024-04-15,1.6284389991234973e-05,1078260807.9948545,120840476.06271076
bonk,Bonk,2024-04-16,1.4687973409683736e-05,971828462.1165812,106362179.5253341
bonk,Bonk,2024-04-17,1.4680774767881958e-05,974601482.1702133,101077392.12073979
bonk,Bonk,2024-04-18,1.3943157498457349e-05,923497295.7654604,72205788.6250702
bonk,Bonk,2024-04-19,1.4721238838877398e-05,976338241.2558367,71150506.08394702
bonk,Bonk,2024-04-20,1.4916480900859076e-05,989748956.6893829,100550043.20725083
bonk,Bonk,2024-04-21,1.9527974839635303e-05,1295970943.2175064,198668799.37115067
bonk,Bonk,2024-04-22,2.090762104819016e-05,1386427302.5472343,377307974.70672977
bonk,Bonk,2024-04-23,2.025282707745467e-05,1342746882.9850323,177938019.48607513
bonk,Bonk,2024-04-24,2.462738514672155e-05,1626747761.4507866,323037059.328646
bonk,Bonk,2024-04-25,2.444609493406261e-05,1616726285.4937,612606928.1426232
bonk,Bonk,2024-04-26,2.716194452631166e-05,1813289327.491912,535086760.54114145
bonk,Bonk,2024-04-27,2.5502209666364854e-05,1690534819.5238578,412570466.4244147
bonk,Bonk,2024-04-28,2.464654054743054e-05,1631841047.5962682,327697814.67019075
bonk,Bonk,2024-04-29,2.5022412146676954e-05,1656789058.86972,281413933.0592867
bonk,Bonk,2024-04-30,2.5472205288681643e-05,1690857538.2534356,273598037.9167481
bonk,Bonk,2024-05-01,2.267134071658068e-05,1513818583.622965,266828177.16355604
