address,balance
0x78840613607910d673ad0193363d2d7a1272e87f,13522.098999999998
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,13364.100497918726
0xb0a3a2b60e969afd26561429aa4c1444c57e4411,12999.998866000002
0xcc282e2004428939ee5149a9e7872f0b4d5d5ec7,12933.7471247
0x3aea5e1f27935ed59424f35ea801420d804219e4,12470.030513414988
0x1adfc31478f1c4bbbfa6e553f97ff661d62261f8,12438.495967999997
0xd4f28ff45aafac988f31b7009cc39c2d981debe3,12153.742948916126
0x690a19ed715ad15b0476af01a40ca0a6fbe722dc,12000.0035
0x5f65f7b609678448494de4c87521cdf6cef1e932,11491.691864487424
0x6b553329f746e5ed1e0cceb503b4a820cbce3f9f,11272.262709999999
0xd97107064b8c7520aae6c6e6ca75bb2aa73b670d,11038.45289717313
0x69be413d648ae00f0fbd9856f1355e22b36ee5e0,10848.990300000005
0x58edf78281334335effa23101bbe3371b6a36a51,10829.0071122849
0xab2ce223111bd3618a5ace9193e0e1cb88c267d2,10500.0
0x99f03ca02b232dc124b62b8cf40b2bfd21eae9ca,10464.463375199995
0x1887fa9edadeab7562b01cc3f4fa246ace2c3cdd,10011.348435621378
0xe65617cf3a79cc95872e9a537ea662387e88beab,10002.730428344285
0x3ace4420a05cf84cf4ced26f927aeca5a3fc22b3,9318.07511947336
0x20823eea3bdeda0877eb03b76bd0aa0d4f7a978b,9256.126921530336
0x134da029405f0294e8ea6e2d99cb6ec51a2a8bbc,8758.832962145923
0x6d26fbc3f6e35719c916e0b30b6f48b13a7475f4,8736.845627628361
0x4a2d57d669f2194fa7b5df619cba9f33ccea26bd,8317.13
0x4026df91a19a6838451ddf745f789c2492710106,8180.265528239645
0x28cc933fecf280e720299b1258e8680355d8841f,7469.380260019787
0xdb6fdc30ab61c7cca742d4c13d1b035f3f82019a,7348.776095317714
0x9fc13f3654eb512bf74614eef01a52623a9e6d47,7280.00159438632
0x7f604d597c15b2e2f60dc645844f68b1d781b752,7153.8388556173495
0xda70c7a2a8119de2c8f289b586d9f95f04732b59,7122.650461219177
0xf6b5dfa326287163c7b382dd7a14cc23852ceeb9,7021.123200000001
0xa896070ec45467f3870df89c350c2288658050b2,6999.999999999969
0x5295625ab16fe1a88416fd04d5e96aee94019525,6967.4893554028995
0x4937a209d4cdbd3ecd48857277cfd4da4d82914c,6921.569097742438
0x19a5f2ddfec4386c6f693bb2a5e3e73aa85f3356,6642.08298244
0x0529ea5885702715e83923c59746ae8734c553b7,6617.640608916501
0x43684d03d81d3a4c70da68febdd61029d426f042,6546.877623350001
0x9c41cda6806a85ad073fa62a628b4367bfa2ec56,6483.9544
0xf2043109af60d2e1e9a0321fd8d6ec1f28baa727,6389.738611148833
0x37677815cb540421ac313d7960c1ddb984bc35d7,6156.392551838477
0x52e74ba68592070bfc07ae19ca0a5ce2035bebd6,6135.822748095025
0x0a57facaee78f4a46f47d5738563867dfb2343fe,6123.665822938966
0x00e4c7fc23b8648fd7d5e102d33b532d2c596e76,6102.493427817436
0x9890ef41c8780b569b09e64dc4415cc01f58bfe3,5947.0051841673
0xcbc3854034a7bce88aed9ad713214f2e77e71d0c,5864.27354027157
0xf8c6220984c16fc0e3d06b343362b8ce0d282f0f,5759.109729773298
0x2264d381f64b89bfe2549d71258b13f1111e48ef,5696.738838386523
0x0960da039bb8151cacfef620476e8baf34bd9565,5589.658428122522
0x858da48232ea6731f22573dc711c0cc415c334c5,5512.8687004987105
0xf3231509fd9a96aa1882c47bce713ec8bfda2e41,5499.999999999957
0x5f36629ca4e4a069b7e8364bc2b7fb89d69f1179,5327.066434358805
0xd367e507282cd1b461891bd86051f4cb6d10069b,5259.5419999999995
0xdb3ded7731c781224ec292e2163d9554c094fd7c,5160.552250318768
0x22ba28b589013497c91a7f3b0f33e2732e62ff5d,5122.817888705363
0x7869d7a3b074b5fa484dc04798e254c9c06a5e90,5118.176364840008
0x548054687ef6c56c6d82e8269e5fd93d8b88fcb2,5076.590941871805
0xf33f53925d5d6abbdbb6fcdb0f98ef7de1a7d41b,5055.753854081645
