address,balance
6dUaYX9Z6aQPY66BgD4yzu1saifGAZLrhQqF9BugJxJ1,165704.83009645
0x893cfb284f123924e27b2f969528c88bd5f30ce8,165203.79763206816
0x83428ebfa7b03391664b0ea30006555f48f4aacf,157377.86352065194
41n8tm7RdixmULrztdDg6jEpqnHFQCgjQyA9DK2G39aT,154563.7740353
4yqgcP2EvCyyE14Zd9H2jPFMK59q67YUz7bBnUcKcfVE,153285.6189352
0x363db544ad04f3e10835981600338a9b31dedc5e,149038.7386309
2egbJxkMXZ3LQz457NysWNFB99VJFUt5CXf5niYk3y2C,142200.62032104
0xf9744c2db12fed182b7d21af38a68801521c0cee,141666.995
0x45bf604f6c0a196187f8e8cae12c2ecf7d71e825,141335.01652318996
GVsxprV6pgaDqBb7LHgTZDb1w5ANTdS9soKGrARAvw1n,140385.0123526
FcmiyrjpbPXQA1nTo8ntGRYAsZR8pSmL5uVpmXLUt6Bs,139960.85008139
0xc34feb57e1521bd5cd04d583016b4de84e0719f2,135001.5156762696
3FvZSbeMpaCXGCf4cnAGFdotVVL3PwdZqdWofeqUNs7u,134421.17499771
0xcfa8206afc30c28b662ead091f9063111652c9a8,134358.5950582112
0x60bf31b890eae3f41aee0ac49e8c20ff9fd79db5,132001.00008
0xafd590bff0502efbc03de563aabc141daa2fa9f5,130009.26334035196
0xb3e17c65326f9c390696c65b9003bec0b1441826,127645.4697308042
0xae7367ad52768b1ef0f5a5b43bec2a49f7864112,127431.72203
0x251e6369fe636c00a4d7fbf153d12bcd0161aba6,122785.43336353468
AmXR6YeshKfnx23gQpJkktUXoGb7cAXi5hWk3w2pw1a3,121960.27423658
Bwo3eUBVQWkLBwDYzCtC7zX3VpnDr9HbykSXWYfa5Rgn,118612.79327793
EvE3t5R22zMwRdVdxjk4Z9BzNHWSPZ5YXT8USg89VKa6,118514.10714417
0x7f604d597c15b2e2f60dc645844f68b1d781b752,111543.78357646454
0xd51d36854765a7124a453dd500eae5b99bff34a4,110830.81202345
0xcdb88eab390badf3eebafda45c3954ea147427f0,110000.23054874288
0x1b0393a2d0c78104bd09ef18e5d1437ac6b25a75,110000.11364999998
0x3c11c3025ce387d76c2eddf1493ec55a8cc2a0f7,105674.77915
0xe936f0073549ad8b1fa53583600d629ba9375161,104184.04210105538
0x36d5bce84f16097679479fbcecf37035b06b4c13,100129.7982412475
0x82f8762a41f35e763becc0180335c9854ae473ec,100001.06661936
0xc0a6bb3d31bb63033176edba7c48542d6b4e406d,98057.2438876778
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,97243.9270263
JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,94199.87750705
