token,address,balance
LDO,0x371d116cf5d64a1b5d37d96150daf8c985770712,524580.0292999999
LDO,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,502018.6163512437
LDO,0xb432863b3857f1cd9d78f5856a8d20693a8bc1a0,500319.6799109822
LDO,0xd921d809154e33516f4e933aa5f363347b85224e,500000.0
LDO,0x4c9f7207be28278b9dca129f2e211acfff48fb01,499999.9999999994
LDO,0x446b86a33e2a438f569b15855189e3da28d027ba,494229.4845482456
LDO,0x525869ad2488101b5cf47e0d898a59f029b32b03,477251.9481972007
LDO,0xfa5b3e8e7d676f059fcd2a80803a6c4a444654b8,475516.9992162777
LDO,0x51c72848c68a965f66fa7a88855f9f7784502a7f,473343.75133655773
LDO,0x27bc1e4a8a5976163e46bd0f314cf0f4b7d38d60,471988.00360359997
LDO,0xff052381092420b7f24cc97fded9c0c17b2cbbb9,466544.21921851963
LDO,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,465811.9710156845
LDO,0xaa10db8804d076601999c7cd769e02e44a99d5b2,451143.09
LDO,0x9409280dc1e6d33ab7a8c6ec03e5763fb61772b5,441394.90829625
LDO,0x28cc933fecf280e720299b1258e8680355d8841f,437131.10881991126
LDO,0x1b14376ee2d46ae5c27a43d902d96d4f3f264b83,434192.85
LDO,0x7473670070f2adeee5edb9e3f6e1ee6480e66de1,431231.2265678661
LDO,0x3ee18b2214aff97000d974cf647e7c347e8fa585,429221.9546637486
LDO,0xb51bf9029d778899d42e96ebcdc0498bd061006d,421504.41049243615
LDO,0x1e68298738ecd25986ba33dcd9f9884d7e98bd10,419139.9247318942
LDO,0x4f780068124ff8e90222e4157fe8a5040ed90efe,417947.87146477215
LDO,0x637aa4f3d192c73d224435fa4ab1cacfcc2192c4,416795.3765267201
LDO,0xbc3c3a735cef2d31d80be9a7f4bcaa060907a5b5,414632.69902
LDO,0xf4e6deea1b4da85c2d68db8d771d37ec1148b853,414157.462891695
