orchestrator,total_stake_lpt,active
0x00803b76dc924ceabf4380a6f9edc2ddd3c90f38,30.761312376969300431,false
0x89ebf68a825d50ad10c02d721d980012799bfd79,30.42822233078938865,false
0x5b5079b69a3f8dc07ca05ee301e39a08a002def3,26.01866163988941949,false
0x03c4fec28fd17601dba4d06b1b256b6677e85a3b,24.227869737495556279,false
0x5547b010bb3a14f18d585a5983f7cfb194f0cc50,24.206099999999999284,false
0xb154a6e3dfaeb5cc34feda596e470426a578de01,20.201763084087357214,false
0x96ceb81030b9e494822e8be60277e196e6520dbf,20.014307568881232413,false
0x3aeae83f08843aa3219f795b333a1bb9df564400,19.223512164972056837,false
0xbd91c9df3c30f0e43b19b1dd05888cf9b647b781,16.20112840516513586,false
0x37060e89c7d53f5307ea708919af91d3b0cbb0e5,15.577608025168792949,false
0x5ccdfa9d9adef6b2960a3fdb29c5f29ad9f6f5f3,12.347584499999999963,false
0x41f40bc57484cf5728ddce64c1d2390111ba3bd9,11,false
0x6e76031789b1f39613a5840614f172a5a9b8af74,10,false
0xe7dfd92ecf05f841166673b64efdf261af66a0be,5.138975840629092851,false
0x5056136120eee464299cd8a607f43a442bdcd42b,4.971406373797243816,false
0x6e7f1b8fd0cd212ae180b5b6ae50f3a29f7a1d3b,4.572457608365665394,false
0xb1e6eb71b36d0817723631f25124ce0a828b054e,4.130758189391475099,false
0x8d3803ecfe86afbb25899a806b46714914b0a4b5,3.883881636274180149,false
0x9e48d670d2bd7300796caa6c05e3d2cc41b8cb9c,3.098544442318307279,false
0xe3dd93281188d27762dc4d91fc90391c5210cd1d,3.036447705601891478,false
0x0336ca20f025b8f1280e98c5cbed71726776d715,3.000817880897900913,false
0x54b10be1ff6ec8b962899f562bd67b6479104074,3,false
0x8dd6da7f398982cffb30a04644f57e8581c54f18,2.915813407834050963,false
0x1553f6db42af4fbd235779fa3c378780bfaaac3f,2.593238255300394979,false
0x6eda4cdd7d0ccde953f8f58aa2495fe749e44e79,2.223231658246871856,false
0x8bd300d0af73176990ce32cca508dba2618eb47c,1.492494700232118054,false
0x1ced4e5575e4d5ab2950f95aed84366cfbfe0965,1.234004917546523306,false
0xb9ef631f4acff1e24aecec4b895bc190f1c26cf1,1.222013592553039318,false
0x1a196b031ea1a74a53ecbe6148772648e02f9d51,1.220165102809990243,false
0x0578dc805055e2471f6d2d024ff329b1eac3ae20,1.041116614003650742,false
0x532ff8bdfa1a73e9da8ec2c8e694587f826bc247,0.920881516299975278,false
0xfc9122f12b23d89a33f7e073072b9bf60aab3fa4,0.596121437741326643,false
0x0d5a6601942bf92e7b259bfc6b56009e6a1c0ad2,0.549169525008151416,false
0xaafb1483c63fee231266639421dfc5bfa7970384,0.500677231366028042,false
0x358f23608873a95e7b8b76a1ffbb66336b17e832,0.405000000000000027,false
0xd833da5694e32f56fd9286a33f2b1d9b5eb2ddff,0.349999999999999978,false
0x559edd969453a569b53178ad30114a87f3c42b8f,0.230636995765560127,false
0x3d08c04133aeb7494180ab3711cbededbf338071,0.200000000000000011,false
0x3018741c62246bf56f6ed6142f2527acab34524c,0.194232503222106112,false
0x2cd168f9d4aac1f9e396a0daf4ea554c89bc1f77,0.142489989011142071,false
0xa7746c57f29994e11c1f7fb84069b12222efd8ba,0.050000000000000003,false
0x08f10d03a0cf7a9eaddc7eacd4cf135a07a0feff,0.041038545909027752,false
0x74ba897f65f04008d8eff364efcc54b0a20e17eb,0.030107830902544021,false
0x35a7931d04632a77e4e3040549156f17d1d2bd1e,0.01518790174008855,false
0x48d1eef15c644dab4f40784e39d2edf7316ef0d6,0.013614302740343811,false
0xdc6b9eac6390ddd16a421e4d6ff114531de1aad0,0.010873150201578361,false
0xf7da517712844b47febe9973fb7712691fdf6e28,0.010358559255557412,false
0x0f3ae6ceb723b192b28f413b4fb24ec75e0faad9,0.010355583937198067,false
0x3640969c6dc1736e343bd3e8a363a7d51d6a8952,0.006216036579384176,false
0xf21f8af7dc0d5a4692cdf0fe566347f5d763ca83,0.001826836446350075,false
0x2330535ccfa87091fe934abaf8798f5cc3976608,0.000293497460145106,false
0x25fa0e2b1cd178e9ba706721313cc7cab315f520,0.000000000000075353,false
0x731808ad8b1c3d13e8972db838ada5fc6ae3c2c8,0.000000000000000421,false
0x19a946d42be53c134e929a6936aecbdd9adf63a0,0.000000000000000199,false
0xf8fb0aef25b850dc8d8aeead92eb64a3010795a0,0.000000000000000092,false
0xdbadf760352fc27b9a0908633fbb404e7698cb55,0.000000000000000058,false
0x881bc746cbb258ae3f3351b748fae04c400dd225,0.000000000000000053,false
0x0074780feff1fd0277fad6ccdb5a29908df6051f,0.00000000000000005,false
0x77543034d85ca10942685289e374a67e21a0f531,0.000000000000000047,false
0xd66e5c00725e0d87d57172191ebd5e865fd71cff,0.000000000000000041,false
0x3302b007cb36bb18d6c92de07b0acdf50535da6a,0.000000000000000033,false
0xe07f09ba3b9bf92ee84be10d4bf7b33e67385a55,0.000000000000000027,false
0xa408138c3c75c927b8614a24a39de02ffd71405f,0.000000000000000025,false
0x24a198994ffc45f50db81670724a7b4506f6670f,0.000000000000000024,false
0x50fa6bb31f13fd60d9005178f2aafa98a5e75327,0.000000000000000017,false
0xdc434f1b2477b0e05708e69fc03caadc0c60c088,0.000000000000000009,false
0xbe9a8b21353ea73794553c154c6c9a06823fcd11,0.000000000000000008,false
0x432e26fc08f236c78fd237882018a95b4c0a3d2a,0.000000000000000007,false
0xb08faed4db58e38f4e4f102947edbbd806c9ad30,0.000000000000000005,false
0xb3ec176da90524ae3ea530caca4d8afc84f10c09,0.000000000000000005,false
0x04c670b89907d9740c2f8683e397096d040b0682,0.000000000000000004,false
0xa487a3b6010ce6f1c45b5cc520c449f04c73516d,0.000000000000000004,false
0x929721f41f2b3f7f88595e21b5ca1795fa3df0a5,0.000000000000000003,false
0xbea1956531ebffd79b6c7a41fe88480cbcff4f2b,0.000000000000000003,false
0xbfedd5decda4020bf5d6e897676273581207b731,0.000000000000000003,false
0xa7c3be4eb0268dcbefbd30d8f7ac8f1a57468032,0.000000000000000002,false
0x0737c85d517d0734316fcd044d6d017d00862932,0.000000000000000001,false
0x2d77dcf4cc1efc97646df76acf17f1ecfe0f8f81,0.000000000000000001,false
0x2f350d054c82fd2ddc5e0e7266f0cbe014314f84,0.000000000000000001,false
0x750fc601b63554a0d5636f11dbbf8e66a3166889,0.000000000000000001,false
0x9cb6437db7aa79a06538851f5978a8dc52eb530d,0.000000000000000001,false
0x9dd7fa505c8ace720003a64e915631d5a112f588,0.000000000000000001,false
0xbf5393a993ae9dc99bd1dec5f4b7de9abd155f8b,0.000000000000000001,false
0xc2440b47ce4c36292daa95907166cda369c2a83d,0.000000000000000001,false
0xdc077ae36a51f73fe08c685bd6ae51934a5235f2,0.000000000000000001,false
0xfacd18daa4d34502d5ad0822b5638ba23e124dcd,0.000000000000000001,false
