token,month,incentive_emission_tokens,insider_unlock_tokens,burned_tokens
HNT,2054-11,0,5.64,0.0
HNT,2054-12,0,5.83,0.0
HNT,2055-01,0,5.83,0.0
HNT,2055-02,0,5.26,0.0
HNT,2055-03,0,5.83,0.0
HNT,2055-04,0,5.64,0.0
HNT,2055-05,0,5.83,0.0
HNT,2055-06,0,5.64,0.0
HNT,2055-07,0,5.83,0.0
HNT,2055-08,0,2.91,0.0
HNT,2055-09,0,2.82,0.0
HNT,2055-10,0,2.91,0.0
HNT,2055-11,0,2.82,0.0
HNT,2055-12,0,2.91,0.0
HNT,2056-01,0,2.91,0.0
HNT,2056-02,0,2.73,0.0
HNT,2056-03,0,2.91,0.0
HNT,2056-04,0,2.82,0.0
HNT,2056-05,0,2.91,0.0
HNT,2056-06,0,2.82,0.0
HNT,2056-07,0,2.91,0.0
HNT,2056-08,0,2.91,0.0
HNT,2056-09,0,2.82,0.0
HNT,2056-10,0,2.91,0.0
HNT,2056-11,0,2.82,0.0
HNT,2056-12,0,2.91,0.0
HNT,2057-01,0,2.91,0.0
HNT,2057-02,0,2.63,0.0
HNT,2057-03,0,2.91,0.0
HNT,2057-04,0,2.82,0.0
HNT,2057-05,0,2.91,0.0
HNT,2057-06,0,2.82,0.0
HNT,2057-07,0,2.91,0.0
HNT,2057-08,0,1.46,0.0
HNT,2057-09,0,1.41,0.0
HNT,2057-10,0,1.46,0.0
HNT,2057-11,0,1.41,0.0
HNT,2057-12,0,1.46,0.0
HNT,2058-01,0,1.46,0.0
HNT,2058-02,0,1.32,0.0
HNT,2058-03,0,1.46,0.0
HNT,2058-04,0,1.41,0.0
HNT,2058-05,0,1.46,0.0
HNT,2058-06,0,1.41,0.0
HNT,2058-07,0,1.46,0.0
HNT,2058-08,0,1.46,0.0
HNT,2058-09,0,1.41,0.0
HNT,2058-10,0,1.46,0.0
HNT,2058-11,0,1.41,0.0
HNT,2058-12,0,1.46,0.0
HNT,2059-01,0,1.46,0.0
HNT,2059-02,0,1.32,0.0
HNT,2059-03,0,1.46,0.0
HNT,2059-04,0,1.41,0.0
HNT,2059-05,0,1.46,0.0
HNT,2059-06,0,1.41,0.0
HNT,2059-07,0,1.46,0.0
HNT,2059-08,0,0.73,0.0
HNT,2059-09,0,0.7,0.0
HNT,2059-10,0,0.73,0.0
HNT,2059-11,0,0.7,0.0
HNT,2059-12,0,0.73,0.0
HNT,2060-01,0,0.73,0.0
HNT,2060-02,0,0.68,0.0
HNT,2060-03,0,0.73,0.0
HNT,2060-04,0,0.7,0.0
HNT,2060-05,0,0.73,0.0
HNT,2060-06,0,0.7,0.0
HNT,2060-07,0,0.73,0.0
HNT,2060-08,0,0.73,0.0
HNT,2060-09,0,0.7,0.0
HNT,2060-10,0,0.73,0.0
HNT,2060-11,0,0.7,0.0
HNT,2060-12,0,0.73,0.0
HNT,2061-01,0,0.73,0.0
HNT,2061-02,0,0.66,0.0
HNT,2061-03,0,0.73,0.0
HNT,2061-04,0,0.7,0.0
HNT,2061-05,0,0.73,0.0
HNT,2061-06,0,0.7,0.0
HNT,2061-07,0,0.73,0.0
HNT,2061-08,0,0.36,0.0
HNT,2061-09,0,0.35,0.0
HNT,2061-10,0,0.36,0.0
HNT,2061-11,0,0.35,0.0
HNT,2061-12,0,0.36,0.0
HNT,2062-01,0,0.36,0.0
HNT,2062-02,0,0.33,0.0
HNT,2062-03,0,0.36,0.0
HNT,2062-04,0,0.35,0.0
HNT,2062-05,0,0.36,0.0
HNT,2062-06,0,0.35,0.0
HNT,2062-07,0,0.36,0.0
HNT,2062-08,0,0.36,0.0
HNT,2062-09,0,0.35,0.0
HNT,2062-10,0,0.36,0.0
HNT,2062-11,0,0.35,0.0
HNT,2062-12,0,0.36,0.0
HNT,2063-01,0,0.36,0.0
HNT,2063-02,0,0.33,0.0
HNT,2063-03,0,0.36,0.0
HNT,2063-04,0,0.35,0.0
HNT,2063-05,0,0.36,0.0
HNT,2063-06,0,0.35,0.0
HNT,2063-07,0,0.36,0.0
HNT,2063-08,0,0.18,0.0
HNT,2063-09,0,0.18,0.0
HNT,2063-10,0,0.18,0.0
HNT,2063-11,0,0.18,0.0
HNT,2063-12,0,0.18,0.0
HNT,2064-01,0,0.18,0.0
HNT,2064-02,0,0.17,0.0
HNT,2064-03,0,0.18,0.0
HNT,2064-04,0,0.18,0.0
HNT,2064-05,0,0.18,0.0
HNT,2064-06,0,0.18,0.0
HNT,2064-07,0,0.18,0.0
HNT,2064-08,0,0.18,0.0
HNT,2064-09,0,0.18,0.0
HNT,2064-10,0,0.18,0.0
HNT,2064-11,0,0.18,0.0
HNT,2064-12,0,0.18,0.0
HNT,2065-01,0,0.18,0.0
HNT,2065-02,0,0.16,0.0
HNT,2065-03,0,0.18,0.0
HNT,2065-04,0,0.18,0.0
HNT,2065-05,0,0.18,0.0
HNT,2065-06,0,0.18,0.0
HNT,2065-07,0,0.18,0.0
HNT,2065-08,0,0.09,0.0
HNT,2065-09,0,0.09,0.0
HNT,2065-10,0,0.09,0.0
HNT,2065-11,0,0.09,0.0
HNT,2065-12,0,0.09,0.0
HNT,2066-01,0,0.09,0.0
HNT,2066-02,0,0.08,0.0
HNT,2066-03,0,0.09,0.0
HNT,2066-04,0,0.09,0.0
HNT,2066-05,0,0.09,0.0
HNT,2066-06,0,0.09,0.0
HNT,2066-07,0,0.09,0.0
HNT,2066-08,0,0.09,0.0
HNT,2066-09,0,0.09,0.0
HNT,2066-10,0,0.09,0.0
HNT,2066-11,0,0.09,0.0
HNT,2066-12,0,0.09,0.0
HNT,2067-01,0,0.09,0.0
HNT,2067-02,0,0.08,0.0
HNT,2067-03,0,0.09,0.0
HNT,2067-04,0,0.09,0.0
HNT,2067-05,0,0.09,0.0
HNT,2067-06,0,0.09,0.0
HNT,2067-07,0,0.09,0.0
HNT,2067-08,0,0.05,0.0
HNT,2067-09,0,0.04,0.0
HNT,2067-10,0,0.05,0.0
HNT,2067-11,0,0.04,0.0
HNT,2067-12,0,0.05,0.0
HNT,2068-01,0,0.05,0.0
HNT,2068-02,0,0.04,0.0
HNT,2068-03,0,0.05,0.0
HNT,2068-04,0,0.04,0.0
HNT,2068-05,0,0.05,0.0
HNT,2068-06,0,0.04,0.0
HNT,2068-07,0,0.05,0.0
HNT,2068-08,0,0.05,0.0
HNT,2068-09,0,0.04,0.0
HNT,2068-10,0,0.05,0.0
HNT,2068-11,0,0.04,0.0
HNT,2068-12,0,0.05,0.0
HNT,2069-01,0,0.05,0.0
HNT,2069-02,0,0.04,0.0
HNT,2069-03,0,0.05,0.0
HNT,2069-04,0,0.04,0.0
HNT,2069-05,0,0.05,0.0
HNT,2069-06,0,0.04,0.0
HNT,2069-07,0,0.05,0.0
HNT,2069-08,0,0.0,0.0
GEOD,2023-03,4411938.91,0.0,0.0
GEOD,2023-04,3998172.4,0.0,1088000.0
GEOD,2023-05,4199128.78,0.0,302000.0
GEOD,2023-06,4190111.68,28125000.0,200000.0
GEOD,2023-07,2315327.93,0.0,200000.0
GEOD,2023-08,2991907.05,59375000.0,500000.0
GEOD,2023-09,2455392.61,0.0,500000.0
GEOD,2023-10,2817483.96,0.0,500000.0
GEOD,2023-11,2792213.85,1869740.86,450000.0
GEOD,2023-12,3280590.11,17000000.0,300000.0
GEOD,2024-01,3938077.06,0.0,300000.0
GEOD,2024-02,4438332.32,8212121.0,430000.0
GEOD,2024-03,5851241.48,29818181.0,230000.0
GEOD,2024-04,5861564.66,8333333.0,290000.0
GEOD,2024-05,7006341.43,0.0,310000.0
